speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Bellerochea malleus;exact;Bellerochea malleus;;;149306;exact;urn:lsid:marinespecies.org:taxname:149306;2726;Bellerochea malleus;(Brightwell) Van Heurck, 1885;Edited by Database Management Team;uncertain;149306;Bellerochea malleus;(Brightwell) Van Heurck, 1885;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Bellerocheaceae;Bellerochea;;malleus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Bellerochea malleus (Brightwell) Van Heurck, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149306 on 2020-06-10;;
Biddulphia alternans;exact;Biddulphia alternans;;;149655;exact;urn:lsid:marinespecies.org:taxname:149655;2679;Biddulphia alternans;(Bailey) Van Heurck, 1885;Edited by Database Management Team;unaccepted;985653;Triceratium alternans f. alternans;J.W. Bailey, 1851;Chromista;Ochrophyta;Bacillariophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;;alternans;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Biddulphia alternans (Bailey) Van Heurck, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149655 on 2020-06-10;;
Boreadinium pisiforme;exact;Boreadinium pisiforme;;;110067;exact;urn:lsid:marinespecies.org:taxname:110067;573520;Boreadinium pisiforme;J.D.Dodge & Hermes, 1981;Checked by Taxonomic Editor;accepted;110067;Boreadinium pisiforme;J.D.Dodge & Hermes, 1981;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Boreadinium;;pisiforme;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Boreadinium pisiforme J.D.Dodge & Hermes, 1981. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110067 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Botryococcus;exact;Botryococcus;;;248103;exact;urn:lsid:marinespecies.org:taxname:248103;6306;Botryococcus;Kützing, 1849;Checked by Taxonomic Editor;accepted;248103;Botryococcus;Kützing, 1849;Plantae;Chlorophyta;Trebouxiophyceae;Trebouxiales;Botryococcaceae;Botryococcus;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Botryococcus Kützing, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=248103 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Braarudosphaera bigelowii;exact;Braarudosphaera bigelowii;;;235922;exact;urn:lsid:marinespecies.org:taxname:235922;;Braarudosphaera bigelowii;(Gran & Braarud) Deflandre, 1947;Checked by Taxonomic Editor;accepted;235922;Braarudosphaera bigelowii;(Gran & Braarud) Deflandre, 1947;Chromista;Haptophyta;Prymnesiophyceae;Coccosphaerales;Braarudosphaeraceae;Braarudosphaera;;bigelowii;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Braarudosphaera bigelowii (Gran & Braarud) Deflandre, 1947. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235922 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Brachiomonas;exact;Brachiomonas;;;345436;exact;urn:lsid:marinespecies.org:taxname:345436;5424;Brachiomonas;Bohlin, 1897;Checked by Taxonomic Editor;accepted;345436;Brachiomonas;Bohlin, 1897;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Brachiomonas;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Brachiomonas Bohlin, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=345436 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Campylodiscus;exact;Campylodiscus;;;149616;exact;urn:lsid:marinespecies.org:taxname:149616;5401;Campylodiscus;C.G. Ehrenberg ex F.T. Kützing, 1844;Edited by Database Management Team;accepted;149616;Campylodiscus;C.G. Ehrenberg ex F.T. Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Surirellales;Surirellaceae;Campylodiscus;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Campylodiscus C.G. Ehrenberg ex F.T. Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149616 on 2020-06-10;;
Campylosira cymbelliformis;exact;Campylosira cymbelliformis;;;149357;exact;urn:lsid:marinespecies.org:taxname:149357;3191;Campylosira cymbelliformis;(A.Schmidt) Grunow ex Van Heurck, 1885;Edited by Database Management Team;uncertain;149357;Campylosira cymbelliformis;(A.Schmidt) Grunow ex Van Heurck, 1885;Chromista;Ochrophyta;Bacillariophyceae;Cymatosirales;Cymatosiraceae;Campylosira;;cymbelliformis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Campylosira cymbelliformis (A.Schmidt) Grunow ex Van Heurck, 1885. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149357 on 2020-06-10;;
Cerataulina pelagica;exact;Cerataulina pelagica;;;149619;exact;urn:lsid:marinespecies.org:taxname:149619;2755;Cerataulina pelagica;(Cleve) Hendey, 1937;Edited by Database Management Team;alternate representation;961694;Cerataulina bergonii;Ostenfeld, 1903;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Cerataulina;;pelagica;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Cerataulina pelagica (Cleve) Hendey, 1937. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149619 on 2020-06-10;;
Cerataulus radiatus;exact;Cerataulus radiatus;;;178126;exact;urn:lsid:marinespecies.org:taxname:178126;;Cerataulus radiatus;R.Ross, 1986;Edited by Database Management Team;uncertain;178126;Cerataulus radiatus;R.Ross, 1986;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Cerataulus;;radiatus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Cerataulus radiatus R.Ross, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=178126 on 2020-06-10;;
Ceratoneis gracilis;exact;Ceratoneis gracilis;;;163938;exact;urn:lsid:marinespecies.org:taxname:163938;;Ceratoneis gracilis;Brébisson ex Kützing, 1849;Edited by Database Management Team;uncertain;163938;Ceratoneis gracilis;Brébisson ex Kützing, 1849;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Ceratoneis;;gracilis;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Ceratoneis gracilis Brébisson ex Kützing, 1849. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163938 on 2020-06-10;;
Chaetoceros;exact;Chaetoceros;;;148985;exact;urn:lsid:marinespecies.org:taxname:148985;2758;Chaetoceros;C.G. Ehrenberg, 1844;Checked by Taxonomic Editor;accepted;148985;Chaetoceros;C.G. Ehrenberg, 1844;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;;;1;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros C.G. Ehrenberg, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148985 on 2020-06-10;;
Chaetoceros affinis;exact;Chaetoceros affinis;;;149241;exact;urn:lsid:marinespecies.org:taxname:149241;2759;Chaetoceros affinis;Lauder, 1864;Edited by Database Management Team;accepted;149241;Chaetoceros affinis;Lauder, 1864;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;affinis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros affinis Lauder, 1864. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149241 on 2020-06-10;;
Chaetoceros brevis;exact;Chaetoceros brevis;;;149291;exact;urn:lsid:marinespecies.org:taxname:149291;2776;Chaetoceros brevis;F.Schütt, 1895;Edited by Database Management Team;accepted;149291;Chaetoceros brevis;F.Schütt, 1895;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;brevis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros brevis F.Schütt, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149291 on 2020-06-10;;
Chaetoceros bulbosus;exact;Chaetoceros bulbosus;;;341472;exact;urn:lsid:marinespecies.org:taxname:341472;;Chaetoceros bulbosus;(Ehrenberg) Heiden, 1928;Edited by Database Management Team;accepted;341472;Chaetoceros bulbosus;(Ehrenberg) Heiden, 1928;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;bulbosus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros bulbosus (Ehrenberg) Heiden, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341472 on 2020-06-10;;
Chaetoceros ceratosporus;exact;Chaetoceros ceratosporus;;;149297;exact;urn:lsid:marinespecies.org:taxname:149297;2777;Chaetoceros ceratosporus;Ostenfeld, 1910;Edited by Database Management Team;uncertain;149297;Chaetoceros ceratosporus;Ostenfeld, 1910;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;ceratosporus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros ceratosporus Ostenfeld, 1910. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149297 on 2020-06-10;;
Chaetoceros concavicornis;exact;Chaetoceros concavicornis;;;156607;exact;urn:lsid:marinespecies.org:taxname:156607;2781;Chaetoceros concavicornis;Mangin, 1917;Edited by Database Management Team;accepted;156607;Chaetoceros concavicornis;Mangin, 1917;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;concavicornis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros concavicornis Mangin, 1917. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156607 on 2020-06-10;;
Chaetoceros constrictus;exact;Chaetoceros constrictus;;;156609;exact;urn:lsid:marinespecies.org:taxname:156609;2783;Chaetoceros constrictus;Gran, 1897;Edited by Database Management Team;accepted;156609;Chaetoceros constrictus;Gran, 1897;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;constrictus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros constrictus Gran, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156609 on 2020-06-10;;
Chaetoceros contortus;exact;Chaetoceros contortus;;;149623;exact;urn:lsid:marinespecies.org:taxname:149623;;Chaetoceros contortus;Schütt, 1895;Edited by Database Management Team;uncertain;149623;Chaetoceros contortus;Schütt, 1895;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;contortus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros contortus Schütt, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149623 on 2020-06-10;;
Chaetoceros convolutus;exact;Chaetoceros convolutus;;;156611;exact;urn:lsid:marinespecies.org:taxname:156611;2784;Chaetoceros convolutus;Castracane, 1886;Edited by Database Management Team;accepted;156611;Chaetoceros convolutus;Castracane, 1886;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;convolutus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros convolutus Castracane, 1886. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156611 on 2020-06-10;;
Chaetoceros coronatus;exact;Chaetoceros coronatus;;;163026;exact;urn:lsid:marinespecies.org:taxname:163026;;Chaetoceros coronatus;Gran, 1897;Edited by Database Management Team;uncertain;163026;Chaetoceros coronatus;Gran, 1897;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;coronatus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros coronatus Gran, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163026 on 2020-06-10;;
Chaetoceros costatus;exact;Chaetoceros costatus;;;149289;exact;urn:lsid:marinespecies.org:taxname:149289;2785;Chaetoceros costatus;Pavillard, 1911;Edited by Database Management Team;uncertain;149289;Chaetoceros costatus;Pavillard, 1911;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;costatus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros costatus Pavillard, 1911. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149289 on 2020-06-10;;
Chaetoceros danicus;exact;Chaetoceros danicus;;;149120;exact;urn:lsid:marinespecies.org:taxname:149120;2789;Chaetoceros danicus;Cleve, 1889;Edited by Database Management Team;uncertain;149120;Chaetoceros danicus;Cleve, 1889;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;danicus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros danicus Cleve, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149120 on 2020-06-10;;
Chaetoceros decipiens;exact;Chaetoceros decipiens;;;149126;exact;urn:lsid:marinespecies.org:taxname:149126;2791;Chaetoceros decipiens;Cleve, 1873;Edited by Database Management Team;accepted;149126;Chaetoceros decipiens;Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;decipiens;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros decipiens Cleve, 1873. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149126 on 2020-06-10;;
Chaetoceros densus;exact;Chaetoceros densus;;;149121;exact;urn:lsid:marinespecies.org:taxname:149121;2794;Chaetoceros densus;(Cleve) Cleve, 1899;Edited by Database Management Team;accepted;149121;Chaetoceros densus;(Cleve) Cleve, 1899;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;densus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros densus (Cleve) Cleve, 1899. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149121 on 2020-06-10;;
Chaetoceros diadema;exact;Chaetoceros diadema;;;149128;exact;urn:lsid:marinespecies.org:taxname:149128;2795;Chaetoceros diadema;(Ehrenberg) Gran, 1897;Edited by Database Management Team;alternate representation;163042;Syndendrium diadema;Ehrenberg, 1854;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;diadema;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Chaetoceros diadema (Ehrenberg) Gran, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149128 on 2020-06-10;;
